顧客ID,c1_購入回数,c1_購入商品数,c1_クーポン割引,c1_購入金額,c2_購入回数,c2_購入商品数,c2_クーポン割引,c2_購入金額,c3_購入回数,c3_購入商品数,c3_クーポン割引,c3_購入金額,c4_購入回数,c4_購入商品数,c4_クーポン割引,c4_購入金額,c5_購入回数,c5_購入商品数,c5_クーポン割引,c5_購入金額,c6_購入回数,c6_購入商品数,c6_クーポン割引,c6_購入金額,c7_購入回数,c7_購入商品数,c7_クーポン割引,c7_購入金額,c8_購入回数,c8_購入商品数,c8_クーポン割引,c8_購入金額,c9_購入回数,c9_購入商品数,c9_クーポン割引,c9_購入金額,c10_購入回数,c10_購入商品数,c10_クーポン割引,c10_購入金額,c11_購入回数,c11_購入商品数,c11_クーポン割引,c11_購入金額,来店頻度,経過日数,総購入金額
1,1,2,0,534,1,2,0,2803,0,0,0,0,1,1,0,764,9,17,0,4981,0,0,0,0,0,0,0,0,9,77,0,22620,9,10,0,24860,0,0,0,0,0,0,0,0,9,19,56562
2,0,0,0,0,10,10,0,4278,4,5,0,2311,5,18,0,1104,8,9,-178,5423,0,0,0,0,8,13,0,3866,13,87,0,14527,13,18,0,5804,0,0,0,0,0,0,0,0,13,6,37313
3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,407,0,0,0,0,0,0,0,0,0,0,0,0,13,26,0,7986,13,39,-489,38665,0,0,0,0,0,0,0,0,13,8,47058
4,2,3,0,886,2,2,0,1684,2,2,0,2133,9,9,0,4616,13,19,0,9471,7,8,0,3921,3,3,0,1576,14,150,-445,73174,14,40,0,24308,1,1,0,746,0,0,0,0,14,27,122515
5,1,1,0,267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,712,6,40,-178,18372,3,3,-267,3380,2,2,0,1519,0,0,0,0,6,48,24250
6,3,3,0,1510,4,4,0,3009,1,1,0,1244,9,16,0,4391,18,24,-62,13678,0,0,0,0,6,7,0,2374,27,291,0,114019,27,61,0,27201,0,0,0,0,0,0,0,0,27,6,167426
7,1,1,0,265,0,0,0,0,0,0,0,0,2,3,0,436,0,0,0,0,1,1,0,354,3,3,0,1779,11,41,0,9478,11,14,0,12716,1,2,0,1243,0,0,0,0,11,7,26271
8,12,13,0,3024,4,4,0,2115,8,8,0,7111,16,18,0,6030,8,8,0,4853,11,12,0,8621,2,2,0,886,23,185,0,77450,22,25,0,11330,1,1,0,532,2,2,0,1065,23,4,123017
9,2,2,0,888,4,4,0,2223,0,0,0,0,3,13,0,712,3,4,0,1387,0,0,0,0,0,0,0,0,18,101,0,21503,9,15,0,5205,1,2,0,1107,0,0,0,0,18,3,33025
10,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,621,9,16,0,3476,0,0,0,0,6,7,0,3665,27,131,0,36629,15,16,0,7643,1,1,0,283,0,0,0,0,27,4,52317
11,1,2,0,178,3,5,0,2842,0,0,0,0,1,1,0,445,7,15,0,6664,1,1,0,254,0,0,0,0,14,245,-2671,84351,6,6,0,3732,0,0,0,0,2,2,0,712,14,9,99178
12,0,0,0,0,1,1,0,783,2,2,0,815,5,5,0,1951,4,4,0,3823,4,4,0,1597,3,4,0,712,14,91,0,22234,6,8,0,4822,1,1,0,354,0,0,0,0,14,7,37091
13,1,2,0,178,1,1,0,835,1,1,0,584,6,6,0,2557,6,6,0,4069,0,0,0,0,2,3,0,1027,10,98,-356,27480,9,11,0,3706,0,0,0,0,0,0,0,0,10,5,40436
14,7,11,0,2799,11,13,0,6915,0,0,0,0,3,3,0,1552,8,12,0,4445,1,1,0,532,0,0,0,0,19,73,0,28016,3,3,0,717,0,0,0,0,0,0,0,0,19,1,44976
15,2,3,0,710,1,2,0,1218,0,0,0,0,10,11,0,3113,5,6,0,3260,0,0,0,0,1,1,0,585,10,122,-1335,34481,4,8,0,3415,0,0,0,0,0,0,0,0,10,40,46782
16,2,3,0,1244,0,0,0,0,1,1,0,710,10,12,0,4301,4,6,0,4105,5,6,0,4958,6,6,0,4406,10,123,0,41821,9,9,0,5179,0,0,0,0,2,2,0,1423,10,7,68147
17,7,12,0,6110,2,3,0,2147,1,1,0,1066,4,7,0,1968,7,24,0,11067,3,5,0,1417,2,2,0,1243,7,188,0,68687,7,12,0,10735,0,0,0,0,0,0,0,0,7,5,104440
18,3,3,0,1109,1,2,0,1405,1,1,0,532,5,5,0,1380,7,20,0,11964,0,0,0,0,1,1,0,318,7,265,0,83271,7,22,0,4673,0,0,0,0,0,0,0,0,7,1,104652
19,3,3,0,575,3,3,0,2183,0,0,0,0,7,9,0,3896,2,2,0,890,6,6,0,4085,0,0,0,0,7,59,-979,16135,7,8,0,5204,0,0,0,0,3,3,0,2671,7,38,35639
20,2,2,0,886,2,3,0,3081,1,1,0,2313,6,6,0,2267,9,9,0,6026,2,2,0,1155,2,2,0,940,11,198,0,103630,11,40,0,20752,1,1,0,1244,0,0,0,0,11,38,142294
21,0,0,0,0,2,3,0,2137,2,4,0,2133,5,6,0,1700,9,12,0,4491,1,2,0,890,3,3,0,1545,18,73,-133,16794,5,7,0,3670,0,0,0,0,2,14,0,2758,18,7,36118
22,3,3,0,3734,3,3,0,2131,0,0,0,0,5,6,0,1925,9,10,0,4493,1,1,0,445,3,3,0,1508,14,122,-133,46706,9,9,0,5918,0,0,0,0,0,0,0,0,14,4,66860
23,0,0,0,0,1,1,0,1394,2,2,0,1155,6,6,0,3820,4,4,0,2167,2,2,0,2133,1,1,0,425,10,141,0,36159,6,6,0,3104,0,0,0,0,0,0,0,0,10,3,50357
24,3,6,0,1009,1,2,0,1620,0,0,0,0,5,7,0,1736,9,13,0,5738,2,2,0,710,1,1,0,267,22,339,-178,82232,22,43,-356,40161,1,1,0,639,1,1,0,532,22,3,134644
25,6,8,0,4532,2,7,0,7109,2,2,0,1065,14,19,0,6534,10,17,0,7603,9,10,0,6092,1,1,0,710,20,278,-97,111280,20,38,0,44920,1,1,0,496,2,2,0,3380,20,4,193721
26,2,3,0,621,6,7,0,3303,2,2,-89,1492,8,13,0,1631,13,14,-89,3506,2,2,0,990,2,3,0,386,30,158,-1440,34168,17,18,0,7394,1,1,-178,534,1,1,0,176,30,1,54201
27,2,2,0,8188,1,1,0,733,0,0,0,0,6,16,0,5323,6,18,0,12725,1,2,0,1599,0,0,0,0,6,91,0,30150,6,19,0,12105,0,0,0,0,0,0,0,0,6,15,70823
28,6,7,0,5136,2,3,0,2131,0,0,0,0,6,9,0,3998,6,7,0,4181,3,3,0,1953,1,1,0,2669,6,253,-979,117577,6,32,0,22955,2,2,0,842,1,1,0,3562,6,18,165004
29,9,15,0,3821,3,3,0,1834,3,6,-356,2486,7,9,0,2010,9,12,0,5643,2,2,0,758,4,4,0,1186,26,240,-801,69969,18,21,0,9441,0,0,0,0,0,0,0,0,26,3,97148
30,4,4,0,979,3,3,0,1218,2,2,0,1955,5,7,0,2931,6,15,0,5982,4,4,0,8856,2,2,0,886,6,212,-445,73729,6,29,0,15070,0,0,0,0,0,0,0,0,6,11,111606
31,1,1,0,888,2,2,0,981,0,0,0,0,8,10,0,4600,10,14,0,9250,2,2,0,977,0,0,0,0,20,232,0,60730,20,35,0,18990,0,0,0,0,0,0,0,0,20,3,96416
32,2,2,-444,1795,5,7,0,4940,2,2,0,2114,10,10,0,4651,15,26,0,11321,2,2,0,924,1,1,0,532,25,154,0,52608,25,82,0,69527,0,0,0,0,0,0,0,0,25,5,148412
33,3,4,0,1430,4,7,0,3734,1,2,0,1670,8,9,0,2742,9,10,0,5747,5,5,0,1845,2,2,0,657,21,353,-356,80836,21,29,0,13922,1,2,0,1777,1,1,0,2669,21,6,117029
34,7,14,0,4618,1,1,0,463,3,3,0,1704,4,4,0,1827,6,6,0,2215,1,1,0,354,1,1,0,318,11,67,0,30155,8,9,0,4933,0,0,0,0,1,1,0,445,11,10,47032
35,5,5,0,3303,2,3,0,2664,2,3,0,3022,3,3,0,1688,6,9,-62,3460,3,4,0,4627,1,1,0,356,11,240,-3321,87753,11,34,-178,11797,0,0,0,0,1,1,0,1779,11,12,120449
36,7,7,0,1214,2,2,0,977,1,1,0,178,10,11,0,4639,3,3,0,1335,9,9,0,1335,1,1,0,532,39,96,-534,56366,11,12,0,9391,3,4,0,2780,0,0,0,0,39,1,78747
37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,3052,0,3,0,7446,0,0,0,0,0,0,0,0,0,60,10498
38,1,1,0,764,2,4,0,1200,1,2,0,1246,7,7,0,2130,4,5,0,2325,0,0,0,0,0,0,0,0,12,206,0,52422,3,3,0,1383,0,0,0,0,2,2,0,1065,12,11,62535
39,1,1,0,532,1,1,0,1220,1,1,0,710,3,4,0,1207,10,15,0,5830,0,0,0,0,1,2,0,1065,11,129,0,38107,11,15,0,10949,0,0,0,0,0,0,0,0,11,13,59620
40,4,10,0,2313,1,1,0,931,2,2,0,1777,5,5,0,1775,6,13,0,7560,2,2,0,1563,2,2,0,1118,6,123,-133,39657,6,89,-1280,26053,1,1,0,354,0,0,0,0,6,16,83101
41,4,5,0,2046,1,2,0,1554,1,1,0,710,18,18,0,5675,8,10,0,5763,1,1,0,445,1,1,0,69,34,352,-374,88307,11,12,0,12377,0,0,0,0,0,0,0,0,34,1,116946
42,3,3,0,756,1,1,0,372,0,0,0,0,5,5,0,883,2,4,0,1599,0,0,0,0,2,2,0,710,17,108,-667,24885,6,6,-62,6928,0,0,0,0,0,0,0,0,17,5,36133
43,0,0,0,0,2,2,0,1098,0,0,0,0,6,6,0,3070,7,8,0,3966,0,0,0,0,5,5,0,1383,11,85,0,34433,11,18,0,12824,0,0,0,0,0,0,0,0,11,10,56774
44,3,11,0,1244,1,1,0,1332,0,0,0,0,6,7,0,2878,9,18,-302,4958,1,1,0,1779,0,0,0,0,9,226,-3727,59859,9,18,0,7380,0,0,0,0,0,0,0,0,9,12,79430
45,1,1,0,888,3,6,0,4441,1,1,0,445,5,9,0,2578,8,9,0,4244,6,6,0,3732,0,0,0,0,16,87,0,34084,14,15,0,8320,1,1,0,895,0,0,0,0,16,5,59627
46,0,0,0,0,1,1,0,436,0,0,0,0,3,3,0,1332,0,0,0,0,4,4,0,1626,2,2,0,3460,11,68,0,32356,7,8,0,7248,0,0,0,0,0,0,0,0,11,38,46458
47,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,2664,0,0,0,0,2,2,0,1421,8,13,0,7229,8,27,0,16338,6,6,0,3464,0,0,0,0,0,0,0,0,8,9,31116
48,1,1,0,2135,1,1,0,2251,0,0,0,0,5,7,0,1296,13,22,0,5278,1,1,0,365,0,0,0,0,13,198,-445,41926,4,6,0,1421,0,0,0,0,0,0,0,0,13,3,54672
49,1,1,0,318,1,1,0,710,0,0,0,0,6,7,0,2756,10,11,0,6397,2,2,0,1681,3,4,0,1722,10,97,0,33204,10,21,0,19712,1,1,0,354,0,0,0,0,10,40,66854
50,2,2,0,977,4,4,0,3170,0,0,0,0,5,7,0,1720,20,33,0,18048,0,0,0,0,1,1,0,318,20,124,-178,46092,20,49,0,38440,1,1,0,888,0,0,0,0,20,7,109653
51,1,2,0,138,7,10,0,5809,2,3,0,1652,6,6,0,2304,10,14,0,10880,1,1,0,1512,0,0,0,0,13,46,0,22109,3,3,0,2375,0,0,0,0,0,0,0,0,13,6,46779
52,2,2,0,655,2,3,0,1779,1,1,0,2153,7,7,0,2662,7,9,0,3143,1,1,0,176,1,2,-178,712,20,103,-632,39816,7,7,0,2270,0,0,0,0,0,0,0,0,20,2,53366
53,5,5,0,2008,3,3,0,2231,2,3,0,2258,4,5,0,1468,13,15,0,8676,2,3,0,870,0,0,0,0,23,118,0,55329,23,30,0,22835,0,0,0,0,2,2,0,2222,23,3,97897
54,6,7,0,4012,1,1,0,1155,2,2,0,708,6,10,0,3316,13,14,0,10285,2,2,0,1408,5,5,0,3375,20,174,0,65262,20,49,0,25867,3,3,0,837,0,0,0,0,20,20,116225
55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,178,4,64,-445,12176,4,6,-712,7802,0,0,0,0,0,0,0,0,4,52,20156
56,6,7,0,3821,3,3,0,4185,2,2,0,1616,17,24,0,8719,11,15,0,8286,1,1,0,621,15,23,0,5773,17,364,0,99672,17,47,0,17631,1,1,0,1138,0,0,0,0,17,11,151462
57,0,0,0,0,2,2,0,963,1,2,0,2491,1,1,0,176,13,21,0,9535,6,6,0,2666,0,0,0,0,13,130,0,38307,13,17,0,11254,0,0,0,0,0,0,0,0,13,34,65392
58,5,7,0,1668,7,7,0,2692,2,3,0,1955,20,23,0,4746,17,24,0,8308,5,5,0,2578,4,4,0,1335,52,284,0,80520,52,100,0,30183,2,2,0,1601,3,3,0,4448,52,1,140034
59,1,1,0,532,8,8,0,5832,3,3,0,2470,14,14,0,5332,23,23,0,11430,0,0,0,0,3,3,0,1563,36,296,0,108394,36,69,0,34852,0,0,0,0,0,0,0,0,36,1,170405
60,14,17,0,3421,16,23,0,13861,4,4,0,7310,16,30,0,8933,10,15,0,5576,6,6,0,4765,16,19,0,5221,16,150,-543,66589,16,25,-178,13588,0,0,0,0,2,2,0,2846,16,9,132110
61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,0,0,0,0,2,2,0,1236,0,0,0,0,3,3,0,2247,11,12,0,5585,2,2,0,1013,1,10,0,1805,29,116,0,96333,23,23,0,16101,4,5,0,4137,0,0,0,0,29,2,128457
63,1,1,0,1690,1,1,0,1168,0,0,0,0,1,1,0,356,3,4,0,1848,0,0,0,0,1,1,0,479,11,101,0,38991,11,43,0,25631,3,3,0,3202,1,2,0,1421,11,38,74786
64,1,1,0,2669,1,1,0,336,0,0,0,0,7,11,0,4071,2,4,0,1781,3,3,0,1994,9,12,0,4327,11,120,-935,37377,11,14,-97,10507,1,1,0,532,1,2,0,3558,11,4,67152
65,0,0,0,0,1,1,0,486,1,1,0,853,0,0,0,0,9,18,0,3161,0,0,0,0,10,31,0,5699,23,63,0,15781,23,26,0,36086,0,0,0,0,0,0,0,0,23,14,62066
66,2,2,0,1617,1,1,0,844,2,2,0,2240,7,15,0,5358,7,10,0,5437,1,1,0,815,5,6,0,2397,7,217,-1408,79617,7,39,-178,27446,1,1,0,801,1,1,0,890,7,5,127462
67,4,4,0,2612,6,7,0,4619,2,2,0,1421,7,11,0,3804,13,22,-97,15295,1,1,0,391,9,11,0,4397,13,369,-2903,142338,13,16,-819,6944,0,0,0,0,0,0,0,0,13,2,181821
68,2,5,0,632,2,2,0,4276,2,2,0,1195,6,6,0,3731,6,6,0,3107,2,2,0,1191,3,3,0,974,20,189,0,105707,20,23,0,14951,0,0,0,0,2,2,0,3738,20,4,139502
69,12,14,0,4423,8,9,0,7237,6,7,0,5009,16,16,0,9583,9,14,0,7480,15,17,0,5163,1,1,0,211,60,349,0,105035,60,78,0,60144,5,6,0,1068,1,1,0,2847,60,1,208200
70,0,0,0,0,3,9,0,3036,16,28,0,17713,2,3,0,1068,9,24,0,11077,0,0,0,0,1,1,0,532,36,374,-160,100010,7,9,0,4723,0,0,0,0,0,0,0,0,36,1,138159
71,4,9,0,1294,1,1,0,347,1,1,0,1244,8,8,0,2797,2,4,0,919,1,1,-178,375,6,8,0,2176,21,121,0,52852,11,15,0,6929,0,0,0,0,0,0,0,0,21,1,68933
72,0,0,0,0,4,5,0,2400,4,5,0,2264,3,3,0,1107,10,13,0,3802,3,3,0,1291,0,0,0,0,21,359,0,72365,11,11,0,7164,0,0,0,0,0,0,0,0,21,18,90393
73,4,5,0,1955,3,4,0,3505,4,5,0,1246,15,19,0,4130,5,7,0,2625,3,3,0,870,3,3,0,773,17,330,-632,92267,17,25,0,12224,1,1,0,301,1,1,0,1601,17,26,121497
74,2,12,0,1068,1,1,0,416,1,1,0,568,3,3,0,1772,10,15,0,4436,1,1,-178,746,6,6,0,1068,10,369,0,56861,10,22,0,12627,0,0,0,0,0,0,0,0,10,40,79562
75,3,8,0,712,0,0,0,0,3,4,0,5188,1,2,0,890,3,4,0,1795,2,2,0,1385,5,7,0,1857,13,29,0,17305,13,18,0,10229,1,1,0,436,2,2,0,2135,13,13,41932
76,8,11,0,2252,4,4,0,2596,3,3,0,2313,2,3,0,710,6,7,0,2840,3,3,0,792,0,0,0,0,28,156,-534,29920,3,3,-178,3090,0,0,0,0,0,0,0,0,28,3,44513
77,4,4,0,2701,2,3,0,1563,1,1,0,933,8,8,0,3570,4,5,-178,2721,0,0,0,0,1,4,0,634,8,84,-311,27867,8,17,0,7581,1,1,0,853,0,0,0,0,8,27,48423
78,5,5,0,1736,3,5,0,3752,1,1,0,443,7,22,0,10689,7,9,0,9921,7,12,0,8516,7,394,0,161471,7,176,0,72774,7,39,0,25211,4,4,0,3036,0,0,0,0,7,16,297549
79,9,9,0,5455,4,5,0,5083,5,6,0,5100,12,15,0,3848,14,21,-195,11396,0,0,0,0,14,32,0,13394,14,324,-3437,101789,14,52,-1656,28939,3,3,0,534,0,0,0,0,14,13,175538
80,7,10,0,2851,1,1,0,445,1,1,0,1066,4,4,0,1348,8,10,0,7075,2,2,0,1225,1,1,0,710,20,109,0,43588,20,29,0,22273,2,2,0,1154,1,1,0,710,20,20,82445
81,4,6,0,4001,3,4,0,3668,2,2,0,1513,6,7,0,2521,28,42,0,19979,2,2,0,1991,1,2,0,886,29,325,0,94863,24,29,0,14645,2,2,0,352,0,0,0,0,29,2,144419
82,3,7,0,1777,1,1,0,714,6,6,0,4619,9,9,0,3859,4,5,0,3198,5,5,0,1752,7,7,0,2926,13,94,0,34944,13,22,0,7672,2,2,0,993,1,1,0,1957,13,4,64411
83,2,2,0,1421,2,4,0,1570,0,0,0,0,12,15,0,8080,18,30,0,16500,3,3,0,1953,1,1,0,265,18,355,-445,125108,17,21,0,9145,0,0,0,0,0,0,0,0,18,6,164042
84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,22,0,10958,0,0,0,0,0,0,0,0,0,0,0,0,4,43,10958
85,0,0,0,0,6,14,0,6570,1,1,0,710,1,1,0,354,6,11,0,5036,0,0,0,0,0,0,0,0,19,92,0,34259,19,22,0,38234,0,0,0,0,0,0,0,0,19,22,85163
86,0,0,0,0,0,0,0,0,1,1,0,977,3,3,0,1243,0,0,0,0,2,2,0,1065,1,1,0,532,14,121,0,44544,14,100,0,35324,3,3,0,2137,0,0,0,0,14,4,85822
87,3,3,0,1348,3,3,0,1957,0,0,0,0,9,12,0,4830,6,7,0,5339,1,1,0,710,1,1,0,532,12,117,0,40674,12,17,0,14486,1,1,0,532,0,0,0,0,12,3,70408
88,3,4,0,2238,1,1,0,888,1,1,0,888,2,2,0,890,10,11,0,5081,0,0,0,0,1,1,0,354,18,243,0,91004,18,34,0,25229,3,3,0,1704,1,1,0,1244,18,8,129520
89,4,5,0,2521,1,1,0,2639,0,0,0,0,6,7,0,1829,8,8,0,2756,3,3,0,2488,2,2,0,888,21,91,0,28079,20,20,0,10974,0,0,0,0,2,6,0,6676,21,9,58850
90,1,1,0,178,5,5,0,5319,1,1,0,354,7,9,-89,1469,3,6,0,2489,1,1,0,416,0,0,0,0,8,150,-1113,44343,0,0,0,0,0,0,0,0,0,0,0,0,8,38,54568
91,2,3,0,1330,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,445,0,0,0,0,0,0,0,0,6,6,0,3179,9,11,0,5136,0,0,0,0,0,0,0,0,10,5,10090
92,3,4,0,1455,2,2,0,3100,3,7,0,5528,3,11,0,4773,3,7,0,3848,3,13,0,5884,3,4,0,1471,3,166,-97,56318,3,12,0,4016,0,0,0,0,0,0,0,0,3,49,86393
93,10,17,0,6023,8,9,0,4215,17,23,-178,39892,10,12,0,2609,9,14,0,6375,4,4,-97,6103,1,1,0,443,48,181,-178,99912,45,53,0,27760,1,1,0,309,1,1,0,1244,48,1,194885
94,5,8,0,1070,3,3,0,1951,4,4,0,2024,17,48,0,18559,2,2,0,2076,8,8,0,4368,12,35,0,18463,17,198,0,90822,17,55,0,41002,3,5,0,821,0,0,0,0,17,2,181156
95,3,3,0,1791,3,4,0,2425,0,0,0,0,3,4,0,1120,11,17,0,8249,2,2,0,2667,0,0,0,0,13,153,0,64493,13,26,0,15109,2,2,0,992,0,0,0,0,13,8,96846
96,2,2,0,3024,4,5,0,2790,2,2,0,1050,11,15,0,5369,4,5,0,3202,4,4,0,2486,6,6,0,2179,19,204,0,79309,19,71,0,48963,1,1,0,890,1,1,0,3916,19,2,153178
97,1,1,0,318,6,8,0,3750,0,0,0,0,1,1,0,112,17,23,-267,17503,0,0,0,0,0,0,0,0,17,163,-854,41656,17,132,-178,23665,1,1,0,817,0,0,0,0,17,1,87821
98,2,3,0,1455,3,4,0,2773,2,3,0,1173,5,6,0,2217,8,10,0,3204,1,1,0,881,3,5,0,845,18,103,0,29954,16,17,0,11612,0,0,0,0,0,0,0,0,18,2,54114
99,2,2,0,799,0,0,0,0,1,1,0,178,3,4,0,1488,7,14,0,10149,0,0,0,0,0,0,0,0,7,120,-133,52516,6,8,0,5098,0,0,0,0,2,2,0,890,7,19,71118
100,5,6,0,4714,2,4,0,2422,7,7,0,2847,8,12,0,3994,14,23,-160,12137,3,3,0,1193,2,6,0,1378,30,385,-97,104623,15,23,0,11619,0,0,0,0,2,2,0,2847,30,1,147774
101,5,7,0,1919,3,4,0,2692,0,0,0,0,3,6,0,2662,6,6,0,4090,4,5,0,4356,7,15,0,8666,7,91,0,40791,7,37,0,16883,0,0,0,0,0,0,0,0,7,46,82059
102,9,11,0,4887,4,4,0,4251,3,3,0,2666,9,9,0,3373,22,29,0,12132,5,6,0,4265,13,20,0,7138,22,252,-810,75959,22,63,0,43295,3,3,0,1934,1,1,0,888,22,14,160788
103,0,0,0,0,0,3,0,1180,0,0,0,0,0,1,0,532,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,21735,0,6,-356,8951,0,0,0,0,0,0,0,0,0,44,32398
104,3,3,0,917,4,4,0,2539,6,9,0,4313,11,16,0,5930,11,15,0,6546,2,2,0,888,6,7,0,3442,11,169,-552,59077,11,35,0,19077,3,3,0,2495,0,0,0,0,11,6,105224
105,4,4,0,1332,2,3,0,2342,1,1,0,710,9,9,0,3070,13,19,0,8098,0,0,0,0,0,0,0,0,22,191,-1148,69312,7,7,-62,2486,0,0,0,0,0,0,0,0,22,16,87350
106,0,0,0,0,2,2,0,1927,1,4,0,2130,0,0,0,0,2,3,-356,1633,2,2,0,675,1,1,0,295,15,84,-748,28859,6,6,0,1611,0,0,0,0,0,0,0,0,15,30,37130
107,3,4,0,1008,2,3,0,1786,0,0,0,0,5,5,0,1959,6,7,0,4625,1,1,0,548,2,2,0,585,21,160,-534,48040,4,4,0,1577,1,1,0,639,0,0,0,0,21,6,60767
108,2,2,0,976,2,2,0,1186,0,0,0,0,3,3,0,992,3,5,0,3920,1,1,0,354,2,2,0,1065,12,78,-623,24237,7,9,0,5818,1,1,0,943,0,0,0,0,12,36,39491
109,1,1,0,336,5,5,0,2976,0,0,0,0,20,21,0,8473,11,13,0,8591,0,0,0,0,1,1,0,710,23,188,-445,85918,23,33,0,17343,0,0,0,0,0,0,0,0,23,3,124347
110,4,5,0,505,0,0,0,0,0,0,0,0,2,2,0,423,3,4,0,1421,0,0,0,0,2,2,0,505,34,209,0,27311,10,10,0,4799,1,1,0,532,0,0,0,0,34,1,35496
111,5,5,0,1558,3,3,0,1941,1,1,0,356,16,19,0,5939,14,20,0,11446,10,13,0,9061,5,9,0,5148,25,187,-828,73496,13,13,-356,7223,0,0,0,0,0,0,0,0,25,3,116168
112,3,5,0,771,2,3,0,2678,0,0,0,0,1,1,0,441,5,8,0,3570,2,2,0,1955,1,2,0,637,20,141,0,41390,5,7,0,5513,1,2,0,708,0,0,0,0,20,7,57663
113,4,4,0,1205,4,4,0,2646,2,2,0,1868,6,6,0,1827,4,5,0,3024,5,5,0,3875,5,5,0,2231,6,85,0,34665,3,3,0,2753,1,1,0,390,1,1,0,1781,6,30,56265
