顧客ID,c1_購入回数,c1_購入商品数,c1_クーポン割引,c1_購入金額,c2_購入回数,c2_購入商品数,c2_クーポン割引,c2_購入金額,c3_購入回数,c3_購入商品数,c3_クーポン割引,c3_購入金額,c4_購入回数,c4_購入商品数,c4_クーポン割引,c4_購入金額,c5_購入回数,c5_購入商品数,c5_クーポン割引,c5_購入金額,c6_購入回数,c6_購入商品数,c6_クーポン割引,c6_購入金額,c7_購入回数,c7_購入商品数,c7_クーポン割引,c7_購入金額,c8_購入回数,c8_購入商品数,c8_クーポン割引,c8_購入金額,c9_購入回数,c9_購入商品数,c9_クーポン割引,c9_購入金額,c10_購入回数,c10_購入商品数,c10_クーポン割引,c10_購入金額,c11_購入回数,c11_購入商品数,c11_クーポン割引,c11_購入金額,来店頻度,経過日数,総購入金額
114,1,1,0,568,1,1,0,1601,0,0,0,0,2,2,0,762,3,4,0,1781,1,1,0,443,2,2,0,708,12,33,0,14085,12,18,0,12192,1,1,0,890,1,1,0,1244,12,2,34274
115,0,0,0,0,1,1,0,514,1,1,0,532,1,1,0,265,12,14,0,7157,0,0,0,0,0,0,0,0,15,206,0,66100,13,15,0,11238,0,0,0,0,0,0,0,0,15,30,85806
116,1,1,0,281,1,1,0,584,2,2,0,1581,4,5,0,2573,8,8,0,4536,3,4,0,3442,3,3,0,1741,15,132,0,38250,9,9,0,6735,1,1,0,422,0,0,0,0,15,30,60145
117,5,5,0,3928,6,6,0,3533,0,0,0,0,6,7,0,1843,6,12,0,5558,3,3,0,1626,3,3,0,621,6,126,0,41660,2,2,0,851,1,1,0,475,1,1,0,1244,6,36,61339
118,2,6,0,534,1,1,0,689,2,2,0,4270,1,2,0,245,4,4,0,1866,3,3,0,1332,1,1,0,356,8,81,0,29067,8,18,0,10554,2,2,0,1351,1,1,0,1066,8,15,51330
119,4,4,0,1333,2,3,0,2008,0,0,0,0,3,3,0,1572,3,3,0,2276,1,1,0,710,0,0,0,0,16,158,-142,46892,15,17,0,7529,0,0,0,0,0,0,0,0,16,4,62320
120,2,2,0,1599,2,3,0,1772,2,2,0,1777,15,18,-534,8571,12,13,0,7622,2,2,0,1277,1,1,0,710,22,260,-445,118489,20,24,0,11886,0,0,0,0,0,0,0,0,22,4,153703
121,2,3,0,1423,2,3,0,1980,0,0,0,0,4,5,0,1950,7,9,0,6507,0,0,0,0,0,0,0,0,11,230,-445,71988,11,36,-712,21099,2,2,0,1243,1,1,0,2491,11,9,108681
122,5,12,0,2313,1,1,0,910,0,0,0,0,1,1,0,176,6,12,0,6580,0,0,0,0,6,8,0,3551,6,18,0,6694,6,9,0,11966,0,0,0,0,0,0,0,0,6,10,32190
123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,3253,0,0,0,0,0,0,0,0,3,5,0,2607,2,6,0,1886,0,0,0,0,0,0,0,0,3,54,7746
124,1,1,0,354,4,4,0,2429,0,0,0,0,1,1,0,267,2,2,0,265,0,0,0,0,7,8,0,2808,21,168,0,27739,13,13,0,3752,0,0,0,0,0,0,0,0,21,18,37614
125,2,6,0,3202,1,1,0,482,0,0,0,0,6,7,0,2427,8,25,0,12901,0,0,0,0,3,6,0,1068,8,140,-231,48189,6,7,0,1732,0,0,0,0,0,0,0,0,8,3,70001
126,3,13,0,1246,1,3,0,2493,2,2,0,1602,7,8,0,4393,8,9,0,6292,6,6,0,4553,0,0,0,0,13,85,0,36818,8,12,0,4000,0,0,0,0,0,0,0,0,13,7,61397
127,6,14,0,2607,4,4,0,3241,0,0,0,0,28,46,0,15644,9,9,0,5136,8,9,0,6037,4,4,0,1604,37,762,-489,283051,37,81,0,58769,1,1,0,308,3,3,0,5341,37,1,381738
128,6,6,0,2751,3,4,0,3494,1,1,0,933,8,10,0,3813,18,31,-267,14985,3,3,0,1510,3,3,0,977,18,345,-2511,116346,18,32,-463,21555,2,2,0,2340,1,1,0,1779,18,1,170483
129,1,1,0,229,2,2,0,2794,0,0,0,0,7,7,0,3535,9,16,0,9072,1,1,0,710,0,0,0,0,9,246,-1122,60489,8,8,0,2226,0,0,0,0,1,1,0,2313,9,30,81368
130,0,0,0,0,2,2,0,1319,0,0,0,0,2,3,0,414,1,1,0,445,0,0,0,0,0,0,0,0,10,76,0,20634,5,6,0,2607,0,0,0,0,0,0,0,0,10,40,25419
131,2,2,0,4094,5,6,0,4447,1,1,0,354,4,4,0,1830,9,15,0,9722,1,1,0,354,5,5,0,1244,9,163,-356,49013,9,13,0,10067,0,0,0,0,0,0,0,0,9,16,81125
132,8,8,0,2644,8,11,0,5888,1,1,0,632,5,5,0,1471,11,14,0,5635,3,3,0,1900,4,4,0,1601,12,175,-44,54617,6,6,-222,3268,0,0,0,0,1,2,0,1244,12,16,78900
133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,28,0,9645,1,1,0,2847,0,0,0,0,0,0,0,0,3,54,12492
134,2,2,0,1615,5,11,0,8080,5,11,0,9879,5,12,0,3136,5,10,0,4977,2,2,0,1089,0,0,0,0,5,70,0,23850,4,4,0,1145,0,0,0,0,2,2,0,4806,5,38,58577
135,6,8,0,5741,5,7,0,7437,0,0,0,0,6,18,0,5509,6,12,0,6533,1,1,0,710,1,1,0,621,6,110,-374,42387,6,13,0,8487,0,0,0,0,0,0,0,0,6,24,77425
136,3,4,0,1935,7,8,0,5964,0,0,0,0,16,18,0,7741,2,2,0,1613,3,3,0,1453,1,1,0,532,23,347,-5182,120715,23,65,-772,38793,0,0,0,0,3,3,0,2488,23,3,181234
137,3,3,0,1732,3,5,0,3761,3,3,0,1793,3,3,0,1241,7,8,0,5334,0,0,0,0,0,0,0,0,7,73,0,20786,4,5,0,1838,0,0,0,0,1,1,0,1066,7,30,37551
138,5,16,0,3645,1,2,0,2169,0,0,0,0,5,18,0,6906,5,8,0,5132,5,16,0,9690,1,2,0,712,5,146,0,81418,5,40,0,34130,1,1,0,1066,1,1,0,2313,5,15,147181
139,6,7,0,1950,2,3,0,2694,2,2,0,1777,10,50,0,17711,1,2,0,890,6,6,0,5125,3,3,0,1223,10,316,-356,167318,7,8,0,4493,0,0,0,0,1,1,0,1957,10,23,205138
140,8,8,0,2646,3,6,0,3959,2,2,0,532,9,10,0,1581,2,2,0,1335,13,15,0,6676,2,3,0,1063,31,269,-231,74315,28,33,-311,17779,2,2,0,1830,0,0,0,0,31,1,111716
141,3,3,0,1777,3,4,0,4990,4,4,0,3911,6,8,0,3225,11,13,0,6634,2,2,0,1207,2,2,0,1065,28,287,0,72212,28,30,0,21501,4,4,0,2274,2,2,0,712,28,2,119508
142,0,0,0,0,2,3,0,1038,0,0,0,0,2,3,0,1152,2,3,0,1066,2,2,0,1421,1,1,0,2313,2,47,0,17473,2,7,0,1944,0,0,0,0,0,0,0,0,2,56,26407
143,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,1387,5,6,-133,1914,0,0,0,0,2,2,0,1029,11,65,-178,18867,2,2,0,487,0,0,0,0,0,0,0,0,11,38,23684
144,2,2,0,1955,1,1,0,2119,1,1,0,283,0,0,0,0,5,9,0,4530,0,0,0,0,0,0,0,0,5,53,0,19434,3,3,0,2131,0,0,0,0,0,0,0,0,5,50,30452
145,0,0,0,0,2,2,0,1002,0,0,0,0,1,1,0,621,6,10,0,4475,1,1,0,514,0,0,0,0,6,84,0,23136,6,6,0,3061,0,0,0,0,0,0,0,0,6,48,32809
146,5,5,0,7188,13,17,0,14044,3,3,0,1837,8,11,0,3414,19,21,0,13355,1,1,0,382,0,0,0,0,19,227,-979,97030,19,41,-356,18463,0,0,0,0,0,0,0,0,19,22,155713
147,2,2,0,1955,2,4,0,1638,2,2,0,1098,5,6,0,1674,9,16,0,4523,1,1,0,798,3,3,-89,1330,9,94,-311,27612,6,7,0,3321,0,0,0,0,0,0,0,0,9,23,43949
148,0,0,0,0,3,3,0,2309,1,1,0,1066,4,4,0,1243,3,4,0,958,0,0,0,0,2,2,0,1154,10,91,-614,30120,7,7,0,4860,0,0,0,0,1,1,0,1601,10,5,43311
149,2,2,0,977,7,13,0,6748,2,3,0,2044,9,23,0,4215,9,30,0,15074,3,3,0,2160,1,1,0,443,9,85,0,20242,9,17,0,12684,1,3,0,1180,0,0,0,0,9,3,65767
150,7,7,0,2758,1,1,0,1280,7,7,0,5474,16,16,0,8780,13,14,0,8616,3,3,0,1289,25,26,0,12623,36,176,0,76308,26,26,0,17398,0,0,0,0,0,0,0,0,36,1,134526
151,3,3,0,1544,7,8,0,8351,4,4,0,2621,7,8,0,2569,1,1,0,178,4,4,0,2220,4,5,0,2019,17,92,0,30487,7,7,0,2712,0,0,0,0,0,0,0,0,17,9,52701
152,9,11,0,12447,2,4,0,5517,4,10,0,8354,9,15,0,4949,14,28,0,18419,1,2,0,1421,0,0,0,0,22,227,-568,90667,14,17,0,9658,0,0,0,0,1,1,0,2135,22,3,153567
153,3,3,0,851,6,9,0,4408,2,2,0,2311,14,30,0,9325,10,11,0,4060,2,2,0,2026,0,0,0,0,14,134,-489,44733,14,26,0,14951,0,0,0,0,2,4,0,2842,14,12,85507
154,1,1,0,318,2,6,0,2828,3,8,0,4798,5,7,0,2929,14,20,0,8623,0,0,0,0,1,1,0,799,17,104,-445,32957,3,5,0,2115,0,0,0,0,0,0,0,0,17,26,55367
155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,352,0,0,0,0,0,0,0,0,1,16,-356,5816,0,0,0,0,0,0,0,0,0,0,0,0,1,50,6168
156,13,13,0,6842,1,1,0,3440,1,1,0,977,7,9,-712,4888,12,15,0,5042,2,2,0,1777,2,2,0,1065,16,285,-906,115887,16,72,-4986,115383,0,0,0,0,1,1,0,2669,16,8,257970
157,4,4,0,3202,0,0,0,0,0,0,0,0,2,3,0,1068,9,25,0,11642,0,0,0,0,0,0,0,0,9,100,0,38050,8,8,0,21393,0,0,0,0,0,0,0,0,9,42,75355
158,7,9,0,3307,1,1,0,404,0,0,0,0,2,3,0,1011,4,7,0,4140,4,4,0,2400,5,8,0,2023,16,95,-178,21225,16,28,0,24180,1,1,0,488,2,2,0,2846,16,14,62024
159,2,2,0,2489,1,1,0,644,1,1,0,584,4,5,0,2308,8,9,0,7435,2,2,0,824,0,0,0,0,8,170,-115,78780,8,62,0,28725,1,1,0,1280,0,0,0,0,8,11,123069
160,7,7,0,2569,6,8,0,5768,3,3,0,2666,11,29,0,12773,11,19,0,10605,2,2,0,1599,9,14,0,4304,11,246,0,112667,11,44,0,30800,4,4,0,2358,0,0,0,0,11,8,186109
161,1,1,0,390,6,9,0,8149,0,0,0,0,4,6,0,4306,1,1,0,496,2,3,0,1775,5,5,0,4089,10,66,0,52284,10,37,0,23494,2,2,0,986,1,2,0,1065,10,5,97034
162,5,6,0,2727,2,2,0,2427,0,0,0,0,4,5,0,1556,9,10,0,5960,0,0,0,0,0,0,0,0,11,116,0,46471,11,16,0,9193,0,0,0,0,2,2,0,3059,11,4,71393
163,4,6,0,1259,5,6,0,5232,1,1,0,297,23,25,0,8484,6,7,0,4178,7,7,0,3976,15,31,0,6587,26,187,-534,69916,26,34,0,18123,3,3,0,2012,3,3,0,3734,26,4,123798
164,0,0,0,0,1,1,0,1091,3,3,0,2176,12,16,0,4867,2,2,0,1118,0,0,0,0,0,0,0,0,17,179,-160,59102,8,9,0,6050,0,0,0,0,1,1,0,1779,17,1,76183
165,1,1,0,710,2,3,0,2883,0,0,0,0,4,5,0,1239,12,17,0,7120,0,0,0,0,0,0,0,0,13,72,-89,25113,4,5,0,1453,0,0,0,0,0,0,0,0,13,34,38518
166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,445,0,0,0,0,0,0,0,0,4,17,0,6429,2,2,0,919,0,0,0,0,0,0,0,0,4,52,7793
167,12,21,0,6194,4,4,0,2308,3,3,0,6760,26,56,0,20443,25,28,0,18098,10,10,0,7619,16,27,0,7512,26,311,0,167591,26,87,0,57784,4,5,0,3326,5,5,0,8543,26,6,306178
168,6,8,0,5720,9,12,0,8299,5,6,0,13061,17,18,0,6188,30,34,0,17485,3,3,0,1476,2,2,0,890,32,466,-178,156426,32,71,0,26023,4,4,0,2833,2,2,0,1781,32,1,240182
169,0,0,0,0,4,6,0,2993,3,3,0,1823,8,9,0,3825,9,13,0,7204,5,5,0,8539,7,17,0,4003,9,71,0,31295,9,24,0,18735,1,1,0,919,0,0,0,0,9,12,79336
170,4,4,0,1063,4,4,0,3657,4,6,0,6999,20,33,0,9665,3,3,0,1848,14,17,0,11658,18,37,0,13667,36,359,0,129115,36,52,0,31975,1,1,0,692,0,0,0,0,36,1,210339
171,3,3,0,1401,8,13,0,6090,0,0,0,0,9,16,0,5136,3,5,-115,1768,4,4,0,2685,9,12,0,5359,9,156,-71,51248,1,1,0,407,0,0,0,0,1,1,0,1601,9,9,75695
172,5,8,0,3200,7,9,0,8945,2,2,0,2044,7,9,0,2128,20,45,0,19174,2,5,0,4443,2,2,0,1171,34,493,0,127001,34,75,0,63185,8,8,0,12310,1,1,0,318,34,1,243919
173,5,6,0,1225,4,6,0,3232,1,1,0,977,16,19,0,5627,24,48,0,15747,2,2,0,703,1,1,0,318,24,462,0,109620,24,97,-178,42873,1,1,0,320,3,3,0,780,24,12,181422
174,2,5,0,356,0,0,0,0,0,0,0,0,1,1,0,176,3,5,0,2404,0,0,0,0,0,0,0,0,3,33,0,10352,0,0,0,0,0,0,0,0,0,0,0,0,3,54,13288
175,2,2,0,708,2,2,0,1583,0,0,0,0,4,5,0,1535,1,1,0,888,3,3,0,1611,0,0,0,0,22,153,0,51415,22,30,0,19507,1,1,0,354,1,1,0,1779,22,7,79380
176,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,886,3,3,0,2594,0,0,0,0,0,0,0,0,6,91,-445,31644,6,12,0,7328,0,0,0,0,0,0,0,0,6,42,42452
177,1,1,0,534,4,4,0,3074,0,0,0,0,2,3,0,1686,6,8,0,3732,0,0,0,0,0,0,0,0,17,107,-178,27081,5,6,0,3179,0,0,0,0,0,0,0,0,17,11,39286
178,4,4,0,938,3,4,0,2308,2,2,0,2489,1,1,0,532,3,3,0,2238,1,1,0,1779,2,6,0,1330,13,180,0,85890,13,15,0,10155,5,5,0,3436,0,0,0,0,13,2,111095
179,3,3,0,672,2,3,0,1104,0,0,0,0,4,5,0,1469,22,41,0,11563,0,0,0,0,6,8,-356,3011,22,203,-1567,51315,8,10,-178,3844,0,0,0,0,0,0,0,0,22,3,72978
180,5,8,0,4359,5,6,0,5323,0,0,0,0,6,8,0,2865,7,20,0,10133,4,4,0,1424,0,0,0,0,7,316,0,83796,6,10,0,13881,0,0,0,0,0,0,0,0,7,46,121781
181,8,11,0,4097,1,1,0,790,3,3,0,1068,9,10,0,4087,9,11,0,6668,6,6,0,3467,2,3,0,977,28,257,-845,87653,28,35,0,11366,0,0,0,0,1,2,0,2846,28,2,123019
182,0,0,0,0,2,2,0,1499,0,0,0,0,6,6,0,2733,3,3,0,2666,1,1,0,532,1,1,0,443,7,98,-133,54021,7,26,0,19177,1,1,0,733,0,0,0,0,7,27,81804
183,2,2,0,710,2,3,0,2215,0,0,0,0,8,14,0,4356,1,1,0,623,0,0,0,0,3,3,0,1291,10,94,0,32154,10,37,0,27756,4,4,0,9257,0,0,0,0,10,11,78362
184,1,1,0,445,3,3,0,1868,4,6,0,6758,11,12,0,3725,9,10,0,5061,1,1,0,710,1,1,0,461,15,235,-4564,113185,15,37,-507,19206,2,2,0,539,1,1,0,1779,15,10,153737
185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,568,0,0,0,0,0,0,0,0,6,32,0,6653,3,4,0,1333,0,0,0,0,0,0,0,0,6,43,8554
186,2,6,0,1068,6,8,0,5884,0,0,0,0,7,9,0,2518,7,13,0,6452,1,1,0,267,3,6,0,1387,7,139,-445,45449,7,11,0,5788,0,0,0,0,0,0,0,0,7,1,68813
187,3,3,0,2096,1,2,0,2048,0,0,0,0,11,14,0,3266,9,12,0,8194,3,3,0,1918,0,0,0,0,26,291,0,116988,15,22,0,13834,1,1,0,977,2,2,0,2311,26,4,151632
188,1,1,0,1244,1,1,0,1732,1,1,0,532,0,0,0,0,6,14,0,7416,1,1,0,710,0,0,0,0,6,58,0,17380,1,1,0,584,0,0,0,0,0,0,0,0,6,38,29598
189,0,0,0,0,1,1,0,610,0,0,0,0,3,3,0,1421,3,3,0,2667,0,0,0,0,2,2,0,890,11,36,0,24982,11,12,0,6659,1,1,0,354,0,0,0,0,11,5,37583
190,2,2,0,423,1,1,0,311,0,0,0,0,3,3,0,1065,4,4,0,1690,3,3,0,2573,1,1,0,443,13,64,0,31247,5,5,0,5654,0,0,0,0,1,1,0,1779,13,12,45185
191,7,11,0,3243,1,1,0,1107,0,0,0,0,2,2,0,452,7,8,0,5246,0,0,0,0,0,0,0,0,27,155,0,39057,24,25,0,23847,0,0,0,0,0,0,0,0,27,6,72952
192,5,7,0,2290,2,3,0,1316,0,0,0,0,4,6,0,1574,9,9,0,5122,3,3,-97,1837,0,0,0,0,26,161,-623,45667,14,14,0,6555,0,0,0,0,1,1,0,1636,26,6,65997
193,2,2,0,585,2,2,0,1346,0,0,0,0,5,18,0,6630,5,10,0,9391,2,2,0,724,3,3,0,1332,5,198,0,84114,5,29,0,22132,2,2,0,548,1,1,0,2313,5,29,129115
194,3,3,0,1068,0,0,0,0,0,0,0,0,3,4,0,1066,5,6,0,2140,0,0,0,0,13,24,0,5688,13,64,-89,22225,11,13,0,6757,0,0,0,0,0,0,0,0,13,34,38944
195,3,3,0,2131,1,1,0,2359,1,2,0,2383,4,6,0,1394,7,10,0,4644,2,2,0,1421,3,3,0,534,13,123,-623,45274,3,4,0,2705,0,0,0,0,1,1,0,1601,13,34,64446
196,4,4,0,2876,7,9,0,3512,3,5,0,3920,9,13,0,2824,15,37,0,7163,2,2,0,1813,2,2,0,532,17,209,-379,61606,17,17,0,12194,0,0,0,0,1,1,0,710,17,8,97150
197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,267,1,2,0,958,0,0,0,0,0,0,0,0,1,38,1225
198,2,2,0,833,7,7,0,4530,2,2,0,2489,3,5,0,587,38,45,0,19077,1,1,0,354,0,0,0,0,43,386,-2586,138205,43,81,0,38399,1,1,0,534,1,1,0,1244,43,1,206252
199,1,1,0,229,4,4,0,1558,5,6,0,1645,7,8,0,3139,17,37,0,12278,0,0,0,0,0,0,0,0,17,153,-62,40106,13,13,0,5987,0,0,0,0,0,0,0,0,17,26,64942
200,0,0,0,0,1,1,0,1189,3,5,0,2415,2,3,0,1332,6,16,0,13339,0,0,0,0,0,0,0,0,6,70,0,24944,6,23,0,4557,0,0,0,0,0,0,0,0,6,1,47776
201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,764,0,0,0,0,0,0,0,0,2,24,0,6463,2,2,0,1107,0,0,0,0,0,0,0,0,2,41,8334
202,4,4,0,2878,1,1,0,869,1,1,0,623,12,13,0,5141,12,14,0,7471,2,2,0,532,0,0,0,0,29,148,0,45178,20,37,0,20413,0,0,0,0,1,1,0,1779,29,2,84884
203,1,1,0,1779,1,1,0,878,3,3,0,1779,6,6,0,2974,9,11,0,5318,4,4,0,1679,1,1,0,176,13,93,0,29703,13,24,0,11966,1,1,0,1321,2,3,0,5341,13,6,62914
204,5,9,0,4981,3,4,0,2632,0,0,0,0,7,7,0,2707,16,21,0,11483,5,5,0,2308,0,0,0,0,30,188,-445,72374,26,31,0,16135,5,6,0,3708,0,0,0,0,30,1,116328
205,0,0,0,0,3,3,0,765,1,1,0,710,6,8,0,2008,2,2,0,1189,1,1,0,888,0,0,0,0,31,75,0,24990,11,13,0,4817,0,0,0,0,0,0,0,0,31,1,35367
206,1,1,0,585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,0,4657,4,5,0,4089,0,0,0,0,0,0,0,0,4,41,9331
207,2,3,0,3556,2,2,0,1380,1,2,0,712,9,11,0,5212,1,1,0,888,1,1,0,514,4,4,0,2513,17,62,0,19034,14,18,0,8002,0,0,0,0,2,2,0,4270,17,9,46081
208,1,1,0,445,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,585,0,0,0,0,0,0,0,0,1,5,0,1846,0,0,0,0,0,0,0,0,0,0,0,0,1,58,2876
209,8,8,0,4972,2,2,0,1018,2,2,0,3202,16,17,0,5353,12,15,0,9740,3,3,0,4001,4,4,0,1702,17,108,-356,52815,17,20,0,21726,2,2,0,2489,2,3,0,7109,17,9,114127
210,1,1,0,888,0,0,0,0,0,0,0,0,0,0,0,0,4,5,-44,1732,0,0,0,0,0,0,0,0,13,65,0,15311,6,6,0,2577,0,0,0,0,0,0,0,0,13,34,20508
211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,333,0,0,0,0,0,0,0,0,0,0,0,0,1,58,333
212,0,0,0,0,1,1,0,532,0,0,0,0,2,7,0,532,2,3,0,1244,1,1,0,532,0,0,0,0,5,27,0,5291,5,6,0,5334,0,0,0,0,0,0,0,0,5,41,13465
213,2,3,0,2416,1,2,0,1065,0,0,0,0,5,5,0,2662,5,5,0,3448,6,6,0,3337,1,1,0,390,7,215,-1015,99776,7,39,0,35251,3,3,0,2643,0,0,0,0,7,40,150988
214,1,1,0,534,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,835,0,0,0,0,0,0,0,0,5,24,0,9957,3,3,0,2817,0,0,0,0,0,0,0,0,5,50,14143
215,0,0,0,0,1,1,0,406,0,0,0,0,0,0,0,0,2,3,0,1423,0,0,0,0,0,0,0,0,5,25,0,3962,1,1,0,1244,0,0,0,0,0,0,0,0,5,42,7035
216,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,532,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,1652,4,4,0,4714,0,0,0,0,0,0,0,0,5,50,6898
217,3,3,0,1296,1,3,0,2320,2,3,0,4270,2,2,0,1164,2,3,0,1456,0,0,0,0,1,1,0,585,5,12,0,4651,5,9,0,7855,2,2,0,1189,0,0,0,0,5,32,24786
218,1,1,0,89,1,1,0,637,1,1,0,623,2,2,0,386,6,7,0,2755,1,1,0,354,1,1,0,407,6,111,-53,31995,6,23,0,8201,1,1,0,710,0,0,0,0,6,21,46157
219,0,0,0,0,4,4,0,2021,1,1,0,710,3,4,0,1636,16,18,-240,13124,3,3,0,1063,1,1,0,532,16,151,-1396,57996,16,37,-3116,29145,0,0,0,0,0,0,0,0,16,3,106227
220,7,7,0,4602,5,6,0,6319,3,3,0,2311,12,14,0,4945,17,24,0,11157,8,8,0,4071,13,14,0,7211,31,340,-89,124635,31,44,0,33190,4,4,0,3823,1,1,0,890,31,1,203154
221,2,2,0,1207,2,2,0,1830,0,0,0,0,6,6,0,3105,4,4,0,5975,6,6,0,3659,2,2,0,977,10,62,0,33820,10,21,0,14605,5,5,0,3480,0,0,0,0,10,7,68658
222,1,1,0,178,1,1,0,1499,1,1,0,532,2,2,0,619,2,6,0,2288,0,0,0,0,0,0,0,0,2,35,0,11161,2,9,0,3079,0,0,0,0,0,0,0,0,2,56,19356
223,6,6,0,5073,4,6,0,4420,3,4,0,4001,14,15,0,6724,13,16,0,10210,1,1,0,211,1,1,0,445,14,265,0,100152,14,17,0,4635,1,1,0,977,0,0,0,0,14,4,136848
224,2,2,0,1243,2,2,0,1408,1,1,0,1066,11,22,0,10293,11,15,0,9287,9,9,0,5435,11,15,0,7531,11,164,0,66895,9,11,0,4035,0,0,0,0,1,1,0,1601,11,12,108794
225,3,6,0,1421,3,5,0,3382,2,3,0,1173,5,5,0,1649,11,18,0,12098,2,2,0,641,2,2,0,1011,11,178,0,68828,3,3,0,2416,2,2,0,1278,0,0,0,0,11,21,93897
226,6,9,0,2879,1,1,0,710,2,2,0,1408,3,3,0,1720,4,5,0,2374,5,6,0,4463,3,3,0,1722,21,99,-632,40577,21,43,-534,30027,2,2,0,1955,1,1,0,1244,21,18,89079
227,2,10,0,1280,2,3,0,2037,3,3,0,1688,2,5,0,675,13,14,0,7688,1,1,0,623,1,1,0,354,21,205,0,54257,7,7,0,3533,0,0,0,0,0,0,0,0,21,7,72135
228,4,4,0,1332,3,3,0,1805,4,4,0,3777,8,10,0,3905,0,0,0,0,8,11,0,4822,7,7,0,4261,8,59,-222,19715,8,10,0,5138,1,1,0,247,0,0,0,0,8,14,45002
229,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,532,3,4,0,844,0,0,0,0,0,0,0,0,12,39,0,14072,12,25,0,15298,1,1,0,507,0,0,0,0,12,10,31253
230,5,8,0,1716,4,6,0,2757,1,2,0,1777,8,8,0,1962,10,13,0,4183,3,3,0,1423,1,1,0,318,13,127,0,31871,13,52,0,16466,2,2,0,1225,0,0,0,0,13,13,63698
